year,title,authors,journal,species,gene_pathways,phenotypes,genes_found,abstract,doi,pmid,mesh,pmcid
2025,Enhancer remodeling by OTX2 directs specification and patterning of mammalian definitive endoderm.,"Ee Ly-Sha, Medina-Cano Daniel, Goetzler Emily, Uyehara Christopher, Schwarz Clayton, Salataj Eralda, Madhuranath Subhashini, Evans Todd, Hadjantonakis Anna-Katerina, Apostolou Effie, Polyzos Alexander, Vierbuchen Thomas, Stadtfeld Matthias",Developmental cell,both,Wnt,Primitive streak / mesoderm induction; Germ layer specification,wnt,"The molecular mechanisms that drive essential patterning events in the mammalian embryo remain poorly understood. Analysis of transcription factor expression kinetics at peri-gastrulation stages of development suggest Otx2 as a candidate regulator of the definitive endoderm, the precursor of all gut-derived organs. Accordingly, timed OTX2 depletion in gastruloids or during directed differentiation results in abnormal definitive endoderm specification in mouse and human, characterized by altered expression of components and transcriptional targets of the canonical WNT signaling pathway, perturbed adhesion and migration programs, and de-repression of regulators of other lineages. These defects cumulate in impaired foregut formation. Mechanistically, OTX2 is required to activate a subset of endoderm-specific enhancers and to suppress select enhancers of other lineages, allowing timely exit from the primitive streak and correct specification of anterior endoderm. Our results establish OTX2 as an early gut regulator and suggest molecular principles underlying spatiotemporal cell identity conserved across germ layers and species.",10.1016/j.devcel.2025.07.020,40834858,"Otx Transcription Factors; Animals; Endoderm; Mice; Humans; Gene Expression Regulation, Developmental; Body Patterning; Cell Differentiation; Enhancer Elements, Genetic; Wnt Signaling Pathway; Embryo, Mammalian; Cell Lineage",12489875.0
2025,Detection of developmental toxicity of the anti-COVID-19 drug molnupiravir using gastruloid-based in vitro assays.,"Huntsman Margaret Carrell, Marikawa Yusuke",Toxicological sciences : an official journal of the Society of Toxicology,both,,Elongation,,"In pharmaceutical drug development, animal tests are traditionally required to conduct comprehensive toxicity assessments before initiating human clinical trials. However, animal tests are time-consuming and can hinder the rapid development of drugs needed to combat urgent health crises, such as the COVID-19 pandemic. Therefore, faster non-animal alternatives are critical to accelerating preclinical toxicity assessments. Molnupiravir, an antiviral medication authorized for emergency use to treat COVID-19, is an oral pro-drug that is metabolized into its active form, N4-hydroxycytidine (NHC). The developmental toxicity of molnupiravir was initially identified in preclinical animal studies. The present study aims to determine whether in vitro assays using gastruloids-three-dimensional aggregates of pluripotent stem cells that mimic axial elongation morphogenesis of early embryos-can effectively detect the developmental toxicity of molnupiravir in a clinically relevant context. In our experiments, NHC at 20 μM significantly impaired the morphological progression and altered the gene expression profiles in gastruloids derived from mouse P19C5 stem cells. Similarly, in a human embryonic stem cell-based morphogenesis model, NHC reduced the aggregate size at 10 μM and induced significant gene expression changes at concentrations as low as 2.5 μM. Notably, these NHC concentrations are comparable to the plasma levels observed in humans (approximately 10.8 μM) following administration of the clinically recommended dose of molnupiravir. These findings demonstrate that gastruloid-based assays can reliably detect the developmental toxicity of NHC at clinically relevant concentrations, supporting their utility as non-animal tools for expediting preclinical developmental toxicity assessments.",10.1093/toxsci/kfaf093,40692086,Cytidine; Animals; Antiviral Agents; Mice; COVID-19 Drug Treatment; Hydroxylamines; Organoids; Humans; Toxicity Tests; SARS-CoV-2; Pluripotent Stem Cells,
2025,Stem cell culture conditions affect in vitro differentiation potential and mouse gastruloid formation.,"Blotenburg Marloes, Suurenbroek Lianne, Bax Danique, de Visser Joëlle, Bhardwaj Vivek, Braccioli Luca, de Wit Elzo, van Boxtel Antonius, Marks Hendrik, Zeller Peter",PloS one,mouse,Wnt,AP axis / symmetry breaking; Elongation; Germ layer specification; Experimental variability / robustness,wnt,"Aggregating low numbers of mouse embryonic stem cells (mESCs) and inducing Wnt signalling generates 'gastruloids', self-organising complex structures that display an anteroposterior organisation of cell types derived from all three germ layers. Current gastruloid protocols display considerable heterogeneity between experiments in terms of morphology, elongation efficiency, and cell type composition. We therefore investigated whether altering the mESC pluripotency state would provide more consistent results. By growing three mESC lines from two different genetic backgrounds in different intervals of ESLIF and 2i medium the pluripotency state of cells was modulated, and mESC culture as well as the resulting gastruloids were analysed. Microscopic analysis showed a pre-culture-specific effect on gastruloid formation, in terms of aspect ratio and reproducibility. RNA-seq analysis of the mESC start population confirmed that short-term pulses of 2i and ESLIF modulate the pluripotency state, and result in different cellular states. Since multiple epigenetic regulators were detected among the top differentially expressed genes, we further analysed genome-wide DNA methylation and H3K27me3 distributions. We observed epigenetic differences between conditions, most dominantly in the promoter regions of developmental regulators. Lastly, when we investigated the cell type composition of gastruloids grown from these different pre-cultures, we observed that mESCs subjected to 2i-ESLIF preceding aggregation generated gastruloids more consistently, including more complex mesodermal contributions as compared to the ESLIF-only control. These results indicate that optimisation of the mESCs pluripotency state allows the modulation of cell differentiation during gastruloid formation.",10.1371/journal.pone.0317309,40138371,"Animals; Mice; Cell Differentiation; Mouse Embryonic Stem Cells; Cell Culture Techniques; Organoids; DNA Methylation; Epigenesis, Genetic; Gastrula",11940422.0
2025,Gastruloids enable modeling of the earliest stages of human cardiac and hepatic vascularization.,"Abilez Oscar J, Yang Huaxiao, Guan Yuan, Shen Mengcheng, Yildirim Zehra, Zhuge Yan, Venkateshappa Ravichandra, Zhao Shane R, Gomez Angello H, El-Mokahal Marcel, Dunkenberger Logan, Ono Yoshikazu, Shibata Masafumi, Nwokoye Peter N, Tian Lei, Wilson Kitchener D, Lyall Evan H, Jia Fangjun, Wo Hung Ta, Zhou Gao, Aldana Bryan, Karakikes Ioannis, Obal Detlef, Peltz Gary, Zarins Christopher K, Wu Joseph C","Science (New York, N.Y.)",human,,,,"Although model organisms have provided insight into the earliest stages of cardiac and hepatic vascularization, we know very little about this process in humans because of ethical restrictions and the technical difficulty of obtaining embryos during very early development. In this study, we demonstrate that micropatterned human pluripotent stem cell-derived gastruloids enable in vitro modeling of the earliest stages of vascularization. We identify a combination of vascular-inducing factors that give rise to cardiac vascularized organoids with a spatially organized and branched vascular network. To show the broader utility of our vascularization strategy, we use the same vascular-inducing factors to produce hepatic vascularized organoids. Our results suggest that a conserved developmental program generates the vasculature within different types of organs.",10.1126/science.adu9375,40472086,"Humans; Organoids; Liver; Neovascularization, Physiologic; Pluripotent Stem Cells; Heart; Gastrula",12815606.0
2025,Culture of pluripotent stem cells in microscale droplets modulates differentiation and tissue patterning towards organoids on chip.,"Vertti-Quintero Nadia, Delahousse Clara, Aristov Andrey, Traboulsi Tatiana, Cossec Jack-Christophe, Baroud Charles N, Sart Sébastien",Stem cell research & therapy,mammalian,,Germ layer specification; Self-organization,,"The differentiation of pluripotent stem cells (PSCs) and their self-organization into organoids are influenced by cell-cell interactions mediated by contacts and secreted molecules. These interactions are enhanced in microfluidic droplets due to confinement and small culture volumes. However, a comprehensive study on the culture of PSCs within droplets and the impact of this microenvironment has yet to be conducted. In this study, we present a droplet platform for the 3D culture of PSCs at various stages of cellular commitment, such as pluripotency, spontaneous differentiation and directed differentiation towards gastruloids and cardioids. We demonstrate PSC differentiation into the three germ layers and the feasibility of organoid formation within droplets. Our findings reveal that culturing PSCs in confined volumes regulates cell fate decisions, promoting tissue patterning in gastruloids through the sequential induction of growth and migration of distinct differentiated cell populations, and facilitating the self-organization of cardiac organoids. This technological approach provides unique insights into the intrinsic factors regulating tissue self-patterning in vitro, with potential applications in drug screening and disease modeling.",10.1186/s13287-025-04625-7,41013592,Organoids; Cell Differentiation; Pluripotent Stem Cells; Animals; Humans; Cell Culture Techniques; Mice; Lab-On-A-Chip Devices,12465241.0
2025,A modular organization of mammalian gastrulation and the Spemann-Mangold organizer.,"Arias Alfonso Martinez, Dias André, Wehmeyer Alexandra E, Arnold Sebastian J, Fiúza Ulla-Maj",Cells & development,mouse,,Primitive streak / mesoderm induction,,"Studies in amphibian embryos revealed the existence of groups of cells, organizers, that play a central role in laying down the body plan. One, the Spemann-Mangold Organizer (SMO) is associated with the induction of the nervous system and the development of the head, whereas a second one has been linked with the development of the trunk and the tail. Homologues of these organizers have been described in other vertebrates. In the mouse, the SMO organizer has been associated with a region of the mid- early gastrula and the tail-trunk Organizer with the node. Altogether these observations suggest a modular organization of the vertebrate body plan into three domains. One, most anterior, competent to form the brain, a middle one, associated with neural induction and the head, and one dedicated to axial extension. Work with gastruloids, pluripotent stem cell models of mammalian development, reveal that these modules are independent developmental units. Here we discuss the relationship of the gastruloids findings to the activity of organizers in embryos and the implications of this modular organization for the evolution of the vertebrate body plan.",10.1016/j.cdev.2025.204031,40412479,"Animals; Gastrulation; Organizers, Embryonic; Mammals; Body Patterning; Gastrula; Humans; Mice; Embryo, Mammalian",
2025,Lineage recording in monoclonal gastruloids reveals heritable modes of early development.,"Regalado Samuel G, Qiu Chengxiang, Kottapalli Sanjay, Martin Beth K, Chen Wei, Liao Hanna, Kim Haedong, Li Xiaoyi, Lalanne Jean-Benoît, Hamazaki Nobuhiko, Domcke Silvia, Choi Junhong, Shendure Jay",bioRxiv : the preprint server for biology,mouse,,Self-organization,,"Mammalian stem cells possess a remarkable capacity for self-organization, a property that underlies increasingly sophisticated <i>in vitro</i> models of early development. However, even under carefully controlled conditions, stem cell-derived models exhibit substantial ""inter-individual"" heterogeneity. Focusing on gastruloids, a powerful model of the early posterior embryo<sup>1</sup>, we sought to investigate the origins of this heterogeneity. To this end, we developed a scalable protocol for generating gastruloids that are monoclonal, <i>i.e</i>. derived from a single mouse embryonic stem cell (mESC). Single cell transcriptional profiling of monoclonal gastruloids revealed extensive inter-individual heterogeneity, with some hardly progressing, others resembling conventional gastruloids but biased towards mesodermal or neural lineages, and yet others bearing cell types rare or absent from conventional polyclonal gastruloids. To investigate this further, we leveraged DNA Typewriter<sup>2</sup> to record the cell lineage relationships among the mESCs from which monoclonal gastruloids originate. Early in the expansion of ""founder"" mESCsーprior to induction of the resulting aggregates to form gastruloidsーwe observe clear examples of fate bias or fate restriction, <i>i.e</i>. sister clades that exhibit markedly different cell type compositions. In a separate experiment with DNA Typewriter, we reconstructed a monophyletic ""tree of trees"", composed of ~50,000 cells derived from ~100 gastruloids, all descended from a single ""founder of founders"" stem cell. From these data, we find that founder mESCs that are more closely related are more likely to give rise to monoclonal gastruloids with similar cell type compositions. Our results suggest that fluctuations in the intrinsic states of mESCs are heritable, and shape their descendants' fates across many cell divisions. Our study also showcases how DNA Typewriter can be used to reconstruct high-resolution, monophyletic cell lineage trees in stem cell models of early development.",10.1101/2025.05.23.655664,40475526,,12139830.0
2025,Dual-patterned pluripotent stem cells self-organize into a human embryo model with extended anterior-posterior patterning.,"Liu Zukai, Qiu Chengxiang, Kubo Connor A, Xu Stella, Daza Riza M, Nichols Eva, Yang Wei, Vo Anh, O'Neill Mary B, Lee Choli, Shendure Jay, Hamazaki Nobuhiko",bioRxiv : the preprint server for biology,human,Wnt; Nodal; FGF; Retinoic acid,AP axis / symmetry breaking; Elongation; Germ layer specification; Self-organization,chir; chir99021; cripto; fgf2; retinoic acid,"Human gastruloids are a powerful class of stem cell-derived models that recapitulate key features of early embryonic development, including symmetry breaking and the emergence of three germ layers<sup>1-3</sup>. However, they lack anterior embryonic structures and coordinated axial organization<sup>4-6</sup>. To address this limitation, we pre-patterned human pluripotent stem cells (hPSCs) by exposing them to either anterior (FGF2) or posterior (CHIR99021 [CHIR] & retinoic acid [RA]) cues. Upon mixing, these dual-patterned hPSCs interacted and self-organized into elongated structures with both anterior and posterior features-which we term anterior-posterior (AP) human gastruloids. Anteriorly pre-treated cells robustly intercalated into posteriorly pre-treated cells, collectively giving rise to a continuum of neural tissues-including a brain-like domain, a neural tube-like structure, and neuro-mesodermal progenitors (NMPs)-with segmented somites arrayed bilaterally. Single cell RNA sequencing (scRNA-seq) revealed that human AP gastruloids contain cell types resembling the midbrain-hindbrain boundary (MHB), regionalized hindbrain structures (<i>i .e.</i> rhombomeres 1-8), regionalized neural crest (<i>i.e.</i> cranial, vagal, trunk)<sup>7,8</sup> and head mesoderm. Transcriptomic comparisons to primate embryos revealed that human AP gastruloids most closely resemble Carnegie stage 11 (CS11) embryos. While they lack a notochord and full dorsal-ventral polarity, human AP gastruloids recapitulate key spatial and temporal features of early neurulation and somitogenesis. Perturbation of folic acid metabolism or rho-associated kinase (ROCK) signaling induced spinal cord defects, phenocopying aspects of spina bifida and other neural tube defects, highlighting this model's potential for studying congenital disorders<sup>9</sup>. AP gastruloids may serve as a simple, robust, scalable platform for modeling coordinated human AP body axis development. More broadly, our results suggest that controlled interactions between differentially prepatterned progenitors can initiate self-organization of complex body axis features. The ""pattern-and-mix"" strategy may serve as a generalizable framework for assembling spatially organized stem cell models of mammalian development.",10.1101/2025.09.25.678678,41040184,,12485718.0
2025,YAP1 and QSER1 are Key Modulators of Embryonic Signaling Pathways in the Mammalian Epiblast.,"Abraham Elizabeth, Roule Thomas, Douglas Aidan, Megill Emily, Pericak Olivia M, Howe Jordan E, Choya-Foces Carmen, Garbincius Joanne F, Cohen Henry M, Roig-Flórez Paula, Zubillaga Mikel, Andrake Mark D, Kim Seonhee, Elrod John W, Akizu Naiara, Estaras Conchi",bioRxiv : the preprint server for biology,both,Wnt; Nodal; FGF,Primitive streak / mesoderm induction,fgf8; nodal; nodal signaling; wnt,"YAP1 signaling is essential for development but its specific roles in early embryogenesis remain poorly understood. To shed light on this, we analyzed YAP1's role in regulating the pluripotency of the mammalian epiblast, using scRNAseq approaches. Conditional deletion of <i>Yap1</i> in the mouse epiblast (<i>Sox2</i>-Cre) altered the expression of signaling genes, including <i>Nodal</i>, <i>Wnt3</i>, and <i>Fgf8</i>. Accordingly, <i>Yap1</i> loss led to enhanced differentiation of the epiblast toward primitive streak lineages, as evidenced by the upregulation of T/<i>Brachyury</i> and <i>Eomes</i> genes. Furthermore, a proximity labeling assay in human pluripotent stem cells, followed by biochemical assays and molecular modeling predictions, revealed that YAP1 cooperates with QSER1 protein to regulate lineage genes. Our analysis shows that YAP1:TEAD4 enhancers recruit QSER1 to prevent RNA Polymerase II recruitment. Accordingly, QSER1 depletion, similar to YAP1, increases NODAL gene expression and leads to hyperactive NODAL signaling in human 2D-gastruloids. Overall, our findings define a role of YAP1 in the epiblast in vivo and uncovered an interplay with QSER1 controlling the activity of developmental signaling pathways in pluripotent cells.",10.1101/2025.06.16.659935,40667326,,12262321.0
2025,Extended culture of 2D gastruloids to model human mesoderm development.,"Chen Bohan, Khan Hina, Yu Zhiyuan, Yao LiAng, Freeburne Emily, Jo Kyoung, Johnson Craig, Heemskerk Idse",Nature methods,human,Nodal; BMP,Primitive streak / mesoderm induction; Experimental variability / robustness,bmp4; cripto,"Micropatterned human pluripotent stem cells treated with BMP4 (two-dimensional (2D) gastruloids) are among the most widely used stem cell models for human gastrulation. Due to its simplicity and reproducibility, this system is ideal for high-throughput quantitative studies of tissue patterning and has led to many insights into the mechanisms of mammalian gastrulation. However, 2D gastruloids have been studied only up to about 2 days owing to a loss of organization beyond this time with earlier protocols. Here we report an extended 2D gastruloid model to up to 10 days. We discovered a phase of highly reproducible morphogenesis between 2 and 4 days during which directed migration from the primitive streak-like region gives rise to a mesodermal layer beneath an epiblast-like layer. Multiple types of mesoderm arise with striking spatial organization including lateral plate mesoderm-like cells on the colony border and paraxial mesoderm-like cells further inside the colony. Single-cell transcriptomics showed strong similarity of these cells to mesoderm in human and nonhuman primate embryos. Our results illustrate that extended culture of 2D gastruloids provides a powerful model for human mesoderm differentiation and morphogenesis.",10.1038/s41592-025-02669-4,40335707,Humans; Mesoderm; Bone Morphogenetic Protein 4; Cell Differentiation; Gastrulation; Cell Culture Techniques; Pluripotent Stem Cells; Animals; Organoids; Morphogenesis; Gastrula,
